物件一覽表,所在地點,取得章節,功能,文字說明,左下,右上
圓鍬,2_1_1 '農場夜',一,道具,圓鍬。有點沉，但用來挖土沒問題。,"(0.0,0.004166666666666652)","(0.3,0.304166666666666652)"
長椅子,2_1_1 '農場夜',,X,還記得那天晚上，我們坐在這張長椅看星星...。,"(0.596875,0.5361111111111111)","(0.653125,0.5777777777777777)"
土堆,2_1_1 '農場夜',,開鎖,一個平凡無奇的土堆，底下似乎有東西。,"(0.9,0.35)","(0.9953125,0.43472222222222223)"
告示牌,2_1_1 '農場夜',,X,上面寫著「請勿破壞農場，違者必究」。,"(0.646875,0.43333333333333335)","(0.6890625,0.5166666666666666)"
最顯眼的樹,2_1_1 '農場夜',,X,一顆很高的樹。,"(0.82578125,0.6263888888888889)","(0.9984375,0.9083333333333333)"
石頭,2_1_1 '農場夜',,線索,"這顆石頭看起來被移動過。底下好像有東西...。
(獲得道具:命運之輪盒子)","(0.04921875,0.5694444444444444)","(0.15,0.65)"
命運之輪盒子,道具欄,一,道具、開鎖,貼著塔羅牌命運之輪的盒子。但是蓋子上似乎缺少了東西，所以打不開。,,
草叢,2_1_1 '農場夜',,線索,"草叢裏頭有一個長得很像硬幣的東西，不知道做啥用的。
(獲得道具:命運之輪)","(0.49453125,0.6208333333333333)","(0.55703125,0.6583333333333333)"
命運之輪,道具欄,一,道具,一個長得像硬幣的東西，不知道要放在哪裡。,,
別人的時空膠囊,道具欄,一,道具,別人的時空膠囊。上面寫著「我埋的時候，看見旁邊的情侶把東西藏在草叢和大石頭裡面...。他們到底在想什麼」,,
風景明信片,道具欄,一,道具,那個夜晚，我向她告白了。,,
男主的綠色床,2_2_1 'B男宿舍夜',,X,我的床。一如往常的亂。,"(0.00078125,0.005555555555555536)","(0.30078125,0.4041666666666667)"
窗戶,2_2_1 'B男宿舍夜',,X,每天早上八點整，都會看到一個正妹經過，那是我起床的動力。,"(0.25078125,0.7444444444444445)","(0.75234375,1.0013888888888889)"
紅色椅子,2_2_1 'B男宿舍夜',,X,我常常坐在這裡划手機。,"(0.021875,0.43194444444444446)","(0.21171875,0.7125)"
泥濘的排球,道具欄,二,道具、開鎖,雖然排球找回來了，但是一定要清乾淨才行阿。,,
牙刷,2_2_1 'B男宿舍夜',二,道具、合成,牙刷。現在被我拿來刷小東西。,"(0.36640625,0.3055555555555556)","(0.46640625,0.4055555555555556)"
洗衣粉,2_2_1 'B男宿舍夜',二,道具、合成,住宿生必備的洗衣粉。,"(0.72734375,0.0888888888888889)","(0.92734375,0.2888888888888889)"
礦泉水,2_2_1 'B男宿舍夜',二,道具、合成,昨晚買的礦泉水，還有一半沒喝完。,"(0.86953125,0.5861111111111111)","(0.96953125,0.6861111111111111)"
稀釋的泡沫水,道具欄,二,道具、合成,可以拿來清洗物品。但缺少了刷子。,,
自製清洗用具,道具欄,二,道具,可以洗東西了。,,
乾淨的排球,道具欄,二,道具、觸發,洗乾淨的排球。上面的傷痕讓我想起了當時亂親C的回憶。,,
四隻小牛公仔,2_3_1 '女主家裡房間一',,X,可愛的小牛公仔，名字叫做「飛天小牛逼」。分別是黃色、紅色、藍色、粉色。,"(0.45859375,0.7097222222222221)","(0.5484375,0.7694444444444444)"
木製保險櫃(關),2_3_1 '女主家裡房間一',三,解碼,孟亦安有把重要物品鎖起來的習慣。不得不打開了呀...。,"(0.64453125,0.5611111111111111)","(0.6875,0.6138888888888889)"
小牛公仔介紹卡,2_3_1 '女主家裡房間一',,X,"小牛公仔的數字對應卡。上面寫著:「紅色=1,橙色=2,黃色=3,綠色=4,藍色=5,紫色=6黑色=7,粉色=8,咖啡色=9,白色=0」","(0.13359375,0.575)","(0.19375,0.625)"
日曆,2_3_1 '女主家裡房間一',,X,日曆。7/30被圈起來了，那是我的生日。,"(0.40234375,0.8305555555555555)","(0.51015625,0.9444444444444444)"
絨布地毯,2_3_1 '女主家裡房間一',,X,通常鑰匙一定藏在地毯底下對吧！看吧我就知..。好吧這裡沒有。,"(0.7703125,0.16666666666666663)","(0.95078125,0.3194444444444444)"
孟亦安的日記,2_3_2 '女主家裡房間二',三,道具、觸發,孟亦安的日記。,"(0.6234375,0.5486111111111112)","(0.6734375,0.5902777777777778)"
返回按鈕,2_3_2 '女主家裡房間二',四,切換場景,女主家裡房間保險箱,"(0.64453125,0.5611111111111111)","(0.6875,0.6138888888888889)"
返回按鈕,2_4_2 '女主家裡房間保險箱',四,切換場景,女主家裡房間二,"(0.64453125,0.08472222222222225)","(0.74921875,0.19861111111111107)"
女主家裡房間抽屜鑰匙,2_4_2 '女主家裡房間保險箱',四,道具,抽屜的鑰匙。,"(0.575,0.3194444444444444)","(0.775,0.5194444444444444)"
卡片L+E+O,2_4_2 '女主家裡房間保險箱',四,道具、開鎖,"三張卡片用我的英文名字排列。但是語意很不通順。
分別寫著:「春天找到了蝴蝶，夏天找到了薰風」「謝謝你，在我身邊」「秋天找到了楓葉，冬天找到了寒雪」
","(0.23359375,0.2694444444444445)","(0.47890625,0.5805555555555555)"
卡片V,道具欄,四,道具,「而我，找到了你」,,
女主家裡房間抽屜,2_4_1 '女主家裡房間二',,開鎖,抽屜。一如往常的鎖住了。,"(0.52421875,0.6111111111111112)","(0.68828125,0.6944444444444444)"
卡片L+O+V+E,道具欄,四,道具、觸發,"「春天找到了蝴蝶，夏天找到了薰風。秋天找到了楓葉。冬天找到了寒雪
而我，找到了你。謝謝你，在我身邊」",,
